id,District,Category,Cohort_Year,Cohort,Total_Cohort,Number_Grads,Percent_Grads
89,15,White,2018,4 year August,217,182,83.9
90,16,Asian,2018,4 year August,9,8,88.9
91,16,Black,2018,4 year August,299,196,65.6
92,16,Hispanic,2018,4 year August,86,58,67.4
93,16,Native American,2018,4 year August,11,7,63.6
94,16,White,2018,4 year August,10,6,60
95,17,Asian,2018,4 year August,40,26,65
96,17,Black,2018,4 year August,1404,1189,84.7
97,17,Hispanic,2018,4 year August,257,190,73.9
98,17,Multi-Racial,2018,4 year August,12,11,91.7
99,17,Native American,2018,4 year August,18,16,88.9
100,17,White,2018,4 year August,36,21,58.3
101,18,Asian,2018,4 year August,21,16,76.2
102,18,Black,2018,4 year August,741,532,71.8
103,18,Hispanic,2018,4 year August,97,58,59.8
104,18,Multi-Racial,2018,4 year August,6,4,66.7
105,18,Native American,2018,4 year August,13,9,69.2
106,18,White,2018,4 year August,29,22,75.9
107,19,Asian,2018,4 year August,60,52,86.7
108,19,Black,2018,4 year August,600,512,85.3
109,19,Hispanic,2018,4 year August,570,480,84.2
110,19,Multi-Racial,2018,4 year August,17,10,58.8
111,19,Native American,2018,4 year August,18,16,88.9
112,19,White,2018,4 year August,29,18,62.1
113,20,Asian,2018,4 year August,1123,983,87.5
114,20,Black,2018,4 year August,142,115,81
115,20,Hispanic,2018,4 year August,1169,799,68.3
116,20,Multi-Racial,2018,4 year August,40,32,80
117,20,Native American,2018,4 year August,13,12,92.3
118,20,White,2018,4 year August,846,729,86.2
119,21,Asian,2018,4 year August,604,532,88.1
120,21,Black,2018,4 year August,649,532,82
121,21,Hispanic,2018,4 year August,687,529,77
122,21,Multi-Racial,2018,4 year August,60,56,93.3
123,21,Native American,2018,4 year August,13,9,69.2
124,21,White,2018,4 year August,677,582,86
125,22,Asian,2018,4 year August,685,652,95.2
126,22,Black,2018,4 year August,605,508,84
127,22,Hispanic,2018,4 year August,378,312,82.5
128,22,Multi-Racial,2018,4 year August,40,34,85
129,22,Native American,2018,4 year August,7,6,85.7
130,22,White,2018,4 year August,893,804,90
131,23,Asian,2018,4 year August,6,3,50
132,23,Black,2018,4 year August,311,203,65.3
133,23,Hispanic,2018,4 year August,69,39,56.5
134,23,Multi-Racial,2018,4 year August,4,2,50
135,23,Native American,2018,4 year August,4,1,25
136,23,White,2018,4 year August,8,5,62.5
137,24,Asian,2018,4 year August,681,625,91.8
138,24,Black,2018,4 year August,193,153,79.3
139,24,Hispanic,2018,4 year August,2056,1720,83.7
140,24,Multi-Racial,2018,4 year August,59,54,91.5
141,24,Native American,2018,4 year August,27,24,88.9
142,24,White,2018,4 year August,354,317,89.5
143,25,Asian,2018,4 year August,786,710,90.3
144,25,Black,2018,4 year August,335,285,85.1
145,25,Hispanic,2018,4 year August,954,756,79.2
146,25,Multi-Racial,2018,4 year August,54,51,94.4
147,25,Native American,2018,4 year August,21,20,95.2
148,25,White,2018,4 year August,232,196,84.5
149,26,Asian,2018,4 year August,1473,1402,95.2
150,26,Black,2018,4 year August,604,566,93.7
151,26,Hispanic,2018,4 year August,723,643,88.9
152,26,Multi-Racial,2018,4 year August,40,37,92.5
153,26,Native American,2018,4 year August,53,52,98.1
154,26,White,2018,4 year August,461,412,89.4
155,27,Asian,2018,4 year August,703,582,82.8
156,27,Black,2018,4 year August,740,598,80.8
157,27,Hispanic,2018,4 year August,1046,873,83.5
158,27,Multi-Racial,2018,4 year August,45,39,86.7
159,27,Native American,2018,4 year August,92,75,81.5
160,27,White,2018,4 year August,250,212,84.8
161,28,Asian,2018,4 year August,1171,1103,94.2
162,28,Black,2018,4 year August,729,631,86.6
163,28,Hispanic,2018,4 year August,1068,893,83.6
164,28,Multi-Racial,2018,4 year August,72,70,97.2
165,28,Native American,2018,4 year August,137,120,87.6
166,28,White,2018,4 year August,463,407,87.9
167,29,Asian,2018,4 year August,87,69,79.3
168,29,Black,2018,4 year August,752,628,83.5
169,29,Hispanic,2018,4 year August,121,79,65.3
170,29,Multi-Racial,2018,4 year August,16,13,81.3
171,29,Native American,2018,4 year August,26,23,88.5
172,29,White,2018,4 year August,26,16,61.5
173,30,Asian,2018,4 year August,497,455,91.5
174,30,Black,2018,4 year August,186,154,82.8
175,30,Hispanic,2018,4 year August,1275,1070,83.9
176,30,Multi-Racial,2018,4 year August,49,47,95.9
177,30,Native American,2018,4 year August,23,19,82.6
178,30,White,2018,4 year August,368,335,91
179,31,Asian,2018,4 year August,621,588,94.7
180,31,Black,2018,4 year August,643,479,74.5
181,31,Hispanic,2018,4 year August,1205,942,78.2
182,31,Multi-Racial,2018,4 year August,68,60,88.2
183,31,Native American,2018,4 year August,26,22,84.6
184,31,White,2018,4 year August,2005,1853,92.4
185,32,Asian,2018,4 year August,10,5,50
186,32,Black,2018,4 year August,122,91,74.6
187,32,Hispanic,2018,4 year August,494,408,82.6
188,32,Multi-Racial,2018,4 year August,1,1,100
189,32,Native American,2018,4 year August,2,1,50
190,32,White,2018,4 year August,16,13,81.3
