id,Category,District,Percent
202,Student_Response,10,76.6
203,Student_Response,11,78.5
204,Student_Response,12,71.8
205,Student_Response,13,63.9
206,Student_Response,14,65.8
207,Student_Response,15,64.4
208,Student_Response,16,70.5
209,Student_Response,17,72.5
210,Student_Response,18,69.1
211,Student_Response,19,70.1
212,Student_Response,20,70.8
213,Student_Response,21,66.5
214,Student_Response,22,68.4
215,Student_Response,23,71.3
216,Student_Response,24,75.6
217,Student_Response,25,74.3
218,Student_Response,26,70.7
219,Student_Response,27,68.4
220,Student_Response,28,58.9
221,Student_Response,29,57.1
222,Student_Response,30,69.5
223,Student_Response,31,72.2
224,Student_Response,32,62.1
225,Parent_Response,1,39.8
226,Parent_Response,2,28.2
227,Parent_Response,3,37.3
228,Parent_Response,4,56.8
229,Parent_Response,5,33.5
230,Parent_Response,6,59.5
231,Parent_Response,7,37.2
232,Parent_Response,8,37.1
233,Parent_Response,9,38.9
234,Parent_Response,10,43.6
235,Parent_Response,11,44.4
236,Parent_Response,12,46.1
237,Parent_Response,13,29.3
238,Parent_Response,14,33.8
239,Parent_Response,15,30.5
240,Parent_Response,16,18.0
241,Parent_Response,17,41.2
242,Parent_Response,18,35.4
243,Parent_Response,19,26.5
244,Parent_Response,20,24.8
245,Parent_Response,21,21.0
246,Parent_Response,22,22.2
247,Parent_Response,23,39.8
248,Parent_Response,24,39.4
249,Parent_Response,25,43.6
250,Parent_Response,26,23.5
251,Parent_Response,27,24.3
252,Parent_Response,28,33.5
253,Parent_Response,29,28.5
254,Parent_Response,30,29.5
255,Parent_Response,31,33.7
256,Parent_Response,32,43.0
